,model,dataset,preprocessing,augmentation,accuracy,accuracy,macro_precision,macro_precision,macro_recall,macro_recall,macro_f1,macro_f1
76,vinai_bertweet-base,kaggle,True,True,0.954,0.001,0.951,0.001,0.952,0.002,0.951,0.001
77,all-mpnet-base-v2,kaggle,True,True,0.954,0.001,0.951,0.001,0.952,0.001,0.951,0.001
78,Twitter_twhin-bert-base,kaggle,True,True,0.954,0.001,0.951,0.001,0.952,0.001,0.951,0.001
79,all-mpnet-base-v2,kaggle,True,False,0.954,0.001,0.951,0.001,0.951,0.001,0.951,0.001
80,all-MiniLM-L12-v2,kaggle,True,False,0.954,0.001,0.951,0.002,0.951,0.002,0.951,0.002
81,bert-base-cased,kaggle,True,False,0.953,0.001,0.95,0.001,0.951,0.001,0.951,0.001
82,vinai_bertweet-base,kaggle,True,False,0.954,0.002,0.951,0.002,0.951,0.002,0.951,0.002
83,Twitter_twhin-bert-base,kaggle,True,False,0.953,0.002,0.951,0.002,0.951,0.002,0.951,0.002
84,all-MiniLM-L6-v2,kaggle,True,False,0.953,0.001,0.95,0.001,0.951,0.001,0.95,0.001
85,GroNLP_hateBERT,kaggle,True,False,0.953,0.002,0.95,0.002,0.951,0.002,0.95,0.002
86,sarkerlab_SocBERT-base,kaggle,True,True,0.953,0.002,0.95,0.002,0.95,0.002,0.95,0.002
87,distilbert-base-cased,kaggle,True,False,0.953,0.001,0.95,0.001,0.95,0.001,0.95,0.001
88,answerdotai_ModernBERT-base,kaggle,True,False,0.953,0.001,0.95,0.001,0.951,0.001,0.95,0.001
89,bert-base-uncased,kaggle,True,False,0.953,0.001,0.95,0.001,0.95,0.001,0.95,0.001
90,distilbert-base-uncased,kaggle,True,False,0.953,0.001,0.95,0.001,0.951,0.001,0.95,0.001
91,GroNLP_hateBERT,kaggle,True,True,0.953,0.001,0.95,0.001,0.95,0.001,0.95,0.001
92,chandar-lab_NeoBERT,kaggle,True,False,0.953,0.001,0.95,0.001,0.95,0.001,0.95,0.001
93,distilbert-base-uncased,kaggle,True,True,0.953,0.001,0.95,0.001,0.95,0.001,0.95,0.001
94,sarkerlab_SocBERT-base,kaggle,True,False,0.953,0.001,0.95,0.001,0.95,0.001,0.95,0.001
95,bert-base-cased,kaggle,True,True,0.953,0.001,0.95,0.001,0.95,0.002,0.95,0.001
96,all-MiniLM-L12-v2,kaggle,True,True,0.953,0.001,0.95,0.001,0.95,0.001,0.95,0.001
97,sarkerlab_SocBERT-base,kaggle,False,True,0.95,0.001,0.95,0.001,0.95,0.001,0.95,0.001
98,distilbert-base-cased,kaggle,True,True,0.953,0.003,0.95,0.003,0.95,0.003,0.95,0.003
99,chandar-lab_NeoBERT,kaggle,True,True,0.952,0.001,0.949,0.001,0.95,0.001,0.95,0.001
100,xlnet-base-cased,kaggle,True,True,0.953,0.001,0.95,0.001,0.95,0.001,0.95,0.001
101,bert-base-uncased,kaggle,True,True,0.952,0.002,0.95,0.001,0.95,0.002,0.949,0.002
102,xlnet-base-cased,kaggle,True,False,0.952,0.001,0.949,0.001,0.95,0.002,0.949,0.001
103,answerdotai_ModernBERT-base,kaggle,True,True,0.952,0.002,0.949,0.001,0.949,0.001,0.949,0.002
104,sarkerlab_SocBERT-base,kaggle,False,False,0.949,0.002,0.949,0.002,0.949,0.002,0.949,0.002
105,all-MiniLM-L6-v2,kaggle,True,True,0.951,0.001,0.948,0.001,0.948,0.001,0.948,0.001
106,roberta-base,kaggle,True,False,0.951,0.001,0.948,0.001,0.949,0.002,0.948,0.001
107,google_mobilebert-uncased,kaggle,True,True,0.951,0.002,0.948,0.002,0.948,0.002,0.948,0.002
108,roberta-base,kaggle,True,True,0.951,0.001,0.948,0.001,0.948,0.001,0.948,0.001
109,albert_albert-base-v2,kaggle,True,True,0.951,0.002,0.948,0.002,0.948,0.002,0.948,0.002
110,albert_albert-base-v2,kaggle,True,False,0.95,0.002,0.947,0.002,0.948,0.002,0.947,0.002
111,google_mobilebert-uncased,kaggle,True,False,0.95,0.001,0.947,0.001,0.948,0.001,0.947,0.001
112,gpt2,kaggle,True,False,0.95,0.001,0.947,0.001,0.947,0.002,0.947,0.001
113,gpt2,kaggle,True,True,0.95,0.001,0.946,0.001,0.946,0.001,0.946,0.001
114,vinai_bertweet-base,tweeteval,True,True,0.949,0.002,0.944,0.002,0.941,0.003,0.942,0.002
115,vinai_bertweet-base,tweeteval,True,False,0.949,0.001,0.942,0.002,0.941,0.003,0.941,0.002
116,all-mpnet-base-v2,tweeteval,True,False,0.947,0.001,0.94,0.003,0.94,0.003,0.94,0.001
117,bert-base-cased,tweeteval,True,True,0.946,0.002,0.939,0.003,0.938,0.003,0.938,0.002
118,distilbert-base-cased,tweeteval,True,True,0.946,0.001,0.938,0.003,0.938,0.002,0.938,0.001
119,bert-base-uncased,tweeteval,True,False,0.946,0.001,0.938,0.002,0.937,0.002,0.937,0.001
120,distilbert-base-cased,tweeteval,True,False,0.946,0.001,0.94,0.002,0.935,0.003,0.937,0.002
121,bert-base-cased,tweeteval,True,False,0.945,0.001,0.938,0.002,0.937,0.002,0.937,0.001
122,Twitter_twhin-bert-base,tweeteval,True,True,0.945,0.003,0.938,0.003,0.936,0.004,0.937,0.003
123,sarkerlab_SocBERT-base,tweeteval,True,False,0.945,0.001,0.936,0.002,0.938,0.002,0.937,0.002
124,Twitter_twhin-bert-base,tweeteval,True,False,0.945,0.001,0.939,0.003,0.935,0.004,0.937,0.002
125,bert-base-uncased,tweeteval,True,True,0.944,0.002,0.938,0.002,0.936,0.003,0.937,0.002
126,GroNLP_hateBERT,tweeteval,True,False,0.945,0.002,0.938,0.002,0.935,0.003,0.937,0.002
127,GroNLP_hateBERT,tweeteval,True,True,0.945,0.001,0.938,0.003,0.935,0.002,0.936,0.002
128,chandar-lab_NeoBERT,tweeteval,True,True,0.944,0.001,0.939,0.002,0.933,0.001,0.936,0.001
129,all-distilroberta-v1,tweeteval,True,True,0.944,0.001,0.936,0.002,0.935,0.002,0.935,0.002
130,chandar-lab_NeoBERT,tweeteval,True,False,0.944,0.002,0.937,0.002,0.934,0.004,0.935,0.002
131,distilbert-base-uncased,tweeteval,True,False,0.944,0.001,0.935,0.003,0.936,0.003,0.935,0.002
132,all-distilroberta-v1,tweeteval,True,False,0.944,0.001,0.937,0.003,0.933,0.003,0.935,0.002
133,roberta-base,tweeteval,True,True,0.943,0.001,0.936,0.003,0.934,0.003,0.935,0.001
134,all-MiniLM-L12-v2,tweeteval,True,False,0.943,0.002,0.935,0.003,0.935,0.004,0.935,0.003
135,roberta-base,tweeteval,True,False,0.943,0.001,0.936,0.001,0.934,0.002,0.935,0.001
136,xlnet-base-cased,tweeteval,True,False,0.943,0.001,0.935,0.001,0.934,0.003,0.934,0.002
137,all-MiniLM-L12-v2,tweeteval,True,True,0.941,0.003,0.932,0.003,0.936,0.003,0.934,0.003
138,distilbert-base-uncased,tweeteval,True,True,0.941,0.002,0.934,0.003,0.933,0.002,0.934,0.002
139,xlnet-base-cased,tweeteval,True,True,0.94,0.002,0.93,0.002,0.934,0.003,0.932,0.002
140,all-MiniLM-L6-v2,tweeteval,True,False,0.941,0.002,0.932,0.004,0.932,0.003,0.932,0.002
141,albert_albert-base-v2,tweeteval,True,False,0.94,0.002,0.934,0.003,0.93,0.004,0.932,0.003
142,albert_albert-base-v2,tweeteval,True,True,0.94,0.002,0.933,0.004,0.931,0.003,0.932,0.002
143,answerdotai_ModernBERT-base,tweeteval,True,True,0.941,0.001,0.935,0.002,0.928,0.002,0.931,0.001
144,sarkerlab_SocBERT-base,tweeteval,True,True,0.94,0.002,0.932,0.003,0.93,0.003,0.931,0.003
145,google_mobilebert-uncased,tweeteval,True,True,0.94,0.002,0.932,0.002,0.93,0.002,0.931,0.002
146,answerdotai_ModernBERT-base,tweeteval,True,False,0.941,0.001,0.934,0.002,0.928,0.003,0.931,0.002
147,all-MiniLM-L6-v2,tweeteval,True,True,0.939,0.002,0.928,0.003,0.933,0.003,0.93,0.003
148,google_mobilebert-uncased,tweeteval,True,False,0.939,0.002,0.932,0.003,0.927,0.005,0.929,0.003
149,gpt2,tweeteval,True,False,0.937,0.001,0.927,0.003,0.928,0.003,0.928,0.002
150,gpt2,tweeteval,True,True,0.931,0.002,0.915,0.002,0.927,0.002,0.92,0.002
151,vinai_bertweet-base,ieee,False,False,0.847,0.009,0.844,0.01,0.839,0.01,0.84,0.009
152,Twitter_twhin-bert-base,ieee,False,True,0.846,0.012,0.84,0.009,0.84,0.011,0.838,0.012
153,sarkerlab_SocBERT-base,ieee,True,True,0.845,0.014,0.844,0.016,0.833,0.015,0.836,0.015
154,vinai_bertweet-base,ieee,False,True,0.843,0.012,0.841,0.012,0.834,0.011,0.836,0.011
155,all-distilroberta-v1,ieee,False,False,0.842,0.005,0.84,0.007,0.835,0.007,0.836,0.006
156,all-MiniLM-L12-v2,ieee,True,True,0.844,0.012,0.84,0.014,0.834,0.013,0.835,0.014
157,all-mpnet-base-v2,ieee,False,True,0.84,0.01,0.836,0.011,0.833,0.01,0.833,0.01
158,GroNLP_hateBERT,ieee,False,True,0.841,0.01,0.835,0.012,0.832,0.008,0.832,0.01
159,all-distilroberta-v1,ieee,False,True,0.838,0.009,0.835,0.006,0.833,0.008,0.832,0.008
160,all-MiniLM-L6-v2,ieee,True,True,0.839,0.017,0.834,0.018,0.831,0.019,0.831,0.019
161,Twitter_twhin-bert-base,ieee,False,False,0.839,0.015,0.833,0.013,0.833,0.015,0.83,0.015
162,roberta-base,ieee,False,False,0.837,0.014,0.835,0.016,0.829,0.011,0.829,0.014
163,GroNLP_hateBERT,ieee,False,False,0.838,0.01,0.832,0.009,0.83,0.01,0.829,0.01
164,bert-base-uncased,ieee,False,False,0.834,0.011,0.829,0.013,0.828,0.011,0.827,0.011
165,bert-base-uncased,ieee,True,True,0.836,0.011,0.831,0.012,0.825,0.011,0.826,0.011
166,distilbert-base-uncased,ieee,True,True,0.834,0.01,0.828,0.01,0.825,0.01,0.825,0.01
167,roberta-base,ieee,False,True,0.832,0.016,0.829,0.017,0.824,0.015,0.825,0.016
168,all-mpnet-base-v2,ieee,False,False,0.831,0.008,0.827,0.013,0.825,0.008,0.824,0.009
169,answerdotai_ModernBERT-base,ieee,False,True,0.831,0.013,0.83,0.011,0.822,0.012,0.823,0.013
170,xlnet-base-cased,ieee,False,True,0.833,0.012,0.824,0.012,0.825,0.012,0.823,0.013
171,sarkerlab_SocBERT-base,ieee,False,False,0.829,0.01,0.827,0.009,0.823,0.01,0.822,0.011
172,gpt2,ieee,False,False,0.828,0.011,0.825,0.011,0.821,0.011,0.821,0.011
173,all-MiniLM-L12-v2,ieee,False,False,0.826,0.01,0.826,0.01,0.818,0.011,0.82,0.011
174,chandar-lab_NeoBERT,ieee,False,True,0.826,0.014,0.826,0.014,0.82,0.012,0.82,0.014
175,sarkerlab_SocBERT-base,ieee,True,False,0.826,0.006,0.826,0.007,0.819,0.007,0.82,0.006
176,all-MiniLM-L12-v2,ieee,False,True,0.826,0.009,0.821,0.01,0.819,0.009,0.819,0.01
177,chandar-lab_NeoBERT,ieee,False,False,0.824,0.012,0.83,0.008,0.818,0.011,0.819,0.011
178,all-mpnet-base-v2,ieee,True,True,0.825,0.008,0.821,0.008,0.819,0.01,0.818,0.009
179,sarkerlab_SocBERT-base,ieee,False,True,0.827,0.009,0.821,0.009,0.817,0.008,0.818,0.009
180,all-MiniLM-L6-v2,ieee,False,False,0.826,0.009,0.818,0.008,0.819,0.009,0.818,0.009
181,all-distilroberta-v1,ieee,True,False,0.823,0.012,0.824,0.012,0.819,0.012,0.817,0.012
182,all-distilroberta-v1,ieee,True,True,0.823,0.014,0.823,0.012,0.819,0.013,0.817,0.014
183,xlnet-base-cased,ieee,False,False,0.827,0.012,0.821,0.014,0.819,0.014,0.817,0.014
184,xlnet-base-cased,ieee,True,True,0.828,0.01,0.82,0.011,0.816,0.011,0.817,0.011
185,answerdotai_ModernBERT-base,ieee,False,False,0.825,0.016,0.821,0.014,0.818,0.014,0.817,0.016
186,GroNLP_hateBERT,ieee,True,False,0.822,0.013,0.822,0.013,0.814,0.014,0.815,0.013
187,bert-base-cased,ieee,False,False,0.823,0.008,0.819,0.006,0.816,0.009,0.815,0.007
188,all-MiniLM-L12-v2,ieee,True,False,0.82,0.009,0.822,0.008,0.816,0.01,0.815,0.009
189,GroNLP_hateBERT,ieee,True,True,0.823,0.014,0.82,0.015,0.814,0.013,0.815,0.014
190,all-MiniLM-L6-v2,ieee,False,True,0.823,0.008,0.815,0.008,0.815,0.009,0.814,0.008
191,vinai_bertweet-base,ieee,True,True,0.819,0.01,0.823,0.008,0.814,0.009,0.813,0.009
192,vinai_bertweet-base,ieee,True,False,0.819,0.013,0.821,0.016,0.813,0.013,0.813,0.014
193,albert_albert-base-v2,ieee,False,False,0.822,0.018,0.819,0.015,0.814,0.018,0.813,0.018
194,albert_albert-base-v2,ieee,False,True,0.818,0.014,0.829,0.015,0.808,0.015,0.812,0.012
195,all-mpnet-base-v2,ieee,True,False,0.817,0.013,0.817,0.012,0.811,0.013,0.811,0.013
196,bert-base-cased,ieee,False,True,0.819,0.009,0.816,0.009,0.81,0.008,0.81,0.009
197,distilbert-base-uncased,ieee,False,False,0.818,0.01,0.815,0.013,0.811,0.008,0.81,0.01
198,all-MiniLM-L6-v2,ieee,True,False,0.814,0.005,0.811,0.007,0.808,0.004,0.807,0.005
199,bert-base-uncased,ieee,False,True,0.816,0.009,0.808,0.01,0.808,0.008,0.807,0.009
200,distilbert-base-cased,ieee,False,True,0.815,0.004,0.808,0.007,0.805,0.004,0.806,0.004
201,chandar-lab_NeoBERT,ieee,True,True,0.81,0.014,0.814,0.018,0.803,0.014,0.805,0.015
202,distilbert-base-cased,ieee,True,True,0.809,0.01,0.81,0.008,0.803,0.009,0.803,0.009
203,google_mobilebert-uncased,ieee,False,True,0.811,0.011,0.807,0.011,0.803,0.011,0.803,0.011
204,Twitter_twhin-bert-base,ieee,True,False,0.808,0.006,0.812,0.012,0.8,0.006,0.802,0.006
205,roberta-base,ieee,True,False,0.806,0.016,0.812,0.014,0.803,0.014,0.802,0.014
206,Twitter_twhin-bert-base,ieee,True,True,0.806,0.013,0.812,0.015,0.801,0.012,0.801,0.013
207,chandar-lab_NeoBERT,ieee,True,False,0.806,0.012,0.81,0.013,0.8,0.011,0.801,0.011
208,distilbert-base-uncased,ieee,False,True,0.81,0.008,0.801,0.008,0.802,0.008,0.801,0.008
209,distilbert-base-cased,ieee,False,False,0.81,0.01,0.804,0.009,0.802,0.01,0.801,0.01
210,roberta-base,ieee,True,True,0.805,0.014,0.807,0.013,0.802,0.013,0.8,0.014
211,google_mobilebert-uncased,ieee,False,False,0.807,0.016,0.802,0.011,0.8,0.017,0.799,0.016
212,distilbert-base-uncased,ieee,True,False,0.803,0.012,0.801,0.011,0.798,0.01,0.797,0.011
213,distilbert-base-cased,ieee,True,False,0.801,0.007,0.807,0.018,0.795,0.007,0.796,0.007
214,gpt2,ieee,True,True,0.801,0.011,0.803,0.016,0.792,0.01,0.795,0.011
215,bert-base-uncased,ieee,True,False,0.802,0.012,0.801,0.016,0.796,0.012,0.795,0.013
216,albert_albert-base-v2,ieee,True,False,0.798,0.015,0.8,0.013,0.792,0.015,0.792,0.015
217,albert_albert-base-v2,ieee,True,True,0.794,0.026,0.812,0.017,0.787,0.026,0.791,0.023
218,bert-base-cased,ieee,True,False,0.797,0.009,0.801,0.011,0.79,0.011,0.791,0.01
219,gpt2,ieee,True,False,0.797,0.015,0.8,0.015,0.79,0.014,0.791,0.016
220,bert-base-cased,ieee,True,True,0.797,0.014,0.8,0.015,0.789,0.015,0.79,0.015
221,answerdotai_ModernBERT-base,ieee,True,True,0.795,0.012,0.796,0.01,0.786,0.012,0.787,0.012
222,google_mobilebert-uncased,ieee,True,False,0.793,0.015,0.79,0.014,0.786,0.016,0.786,0.016
223,answerdotai_ModernBERT-base,ieee,True,False,0.793,0.01,0.793,0.007,0.783,0.01,0.785,0.009
224,google_mobilebert-uncased,ieee,True,True,0.789,0.009,0.786,0.008,0.782,0.009,0.782,0.008
225,xlnet-base-cased,ieee,True,False,0.788,0.01,0.792,0.011,0.781,0.009,0.781,0.01
226,gpt2,ieee,False,True,0.782,0.016,0.782,0.014,0.775,0.015,0.776,0.015
