Model,Dataset,Config,Seed,ECE
all-distilroberta-v1,ieee,prep0_aug0,seed_90995999,0.109933
all-distilroberta-v1,ieee,prep0_aug0,seed_99511865,0.097027
all-mpnet-base-v2,ieee,prep0_aug0,seed_14298463,0.096146
all-mpnet-base-v2,ieee,prep0_aug0,seed_24677315,0.137415
all-mpnet-base-v2,ieee,prep0_aug0,seed_37622020,0.16269
all-mpnet-base-v2,ieee,prep0_aug0,seed_43782163,0.075885
all-mpnet-base-v2,ieee,prep0_aug0,seed_52680723,0.22819
all-mpnet-base-v2,ieee,prep0_aug0,seed_67351593,0.077773
all-mpnet-base-v2,ieee,prep0_aug0,seed_70681460,0.112413
all-mpnet-base-v2,ieee,prep0_aug0,seed_87212562,0.10472
all-mpnet-base-v2,ieee,prep0_aug0,seed_90995999,0.229276
all-mpnet-base-v2,ieee,prep0_aug0,seed_99511865,0.114131
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_14298463,0.131275
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_24677315,0.1231
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_37622020,0.130911
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_43782163,0.136658
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_52680723,0.05847
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_67351593,0.125949
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_70681460,0.140264
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_87212562,0.122996
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_90995999,0.123062
answerdotai/ModernBERT-base,ieee,prep0_aug0,seed_99511865,0.100159
bert-base-cased,ieee,prep0_aug0,seed_14298463,0.066484
bert-base-cased,ieee,prep0_aug0,seed_24677315,0.097265
bert-base-cased,ieee,prep0_aug0,seed_37622020,0.138002
bert-base-cased,ieee,prep0_aug0,seed_43782163,0.129155
bert-base-cased,ieee,prep0_aug0,seed_52680723,0.132213
bert-base-cased,ieee,prep0_aug0,seed_67351593,0.072435
bert-base-cased,ieee,prep0_aug0,seed_70681460,0.151004
bert-base-cased,ieee,prep0_aug0,seed_87212562,0.129789
bert-base-cased,ieee,prep0_aug0,seed_90995999,0.133131
bert-base-cased,ieee,prep0_aug0,seed_99511865,0.140169
bert-base-uncased,ieee,prep0_aug0,seed_14298463,0.130658
bert-base-uncased,ieee,prep0_aug0,seed_24677315,0.130295
bert-base-uncased,ieee,prep0_aug0,seed_37622020,0.115789
bert-base-uncased,ieee,prep0_aug0,seed_43782163,0.129704
bert-base-uncased,ieee,prep0_aug0,seed_52680723,0.138038
bert-base-uncased,ieee,prep0_aug0,seed_67351593,0.128117
bert-base-uncased,ieee,prep0_aug0,seed_70681460,0.143045
bert-base-uncased,ieee,prep0_aug0,seed_87212562,0.128672
bert-base-uncased,ieee,prep0_aug0,seed_90995999,0.119999
bert-base-uncased,ieee,prep0_aug0,seed_99511865,0.13245
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_14298463,0.116013
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_24677315,0.075398
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_37622020,0.045596
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_43782163,0.13722
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_52680723,0.126116
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_67351593,0.147643
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_70681460,0.133625
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_87212562,0.058333
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_90995999,0.127571
chandar-lab/NeoBERT,ieee,prep0_aug0,seed_99511865,0.124349
distilbert-base-cased,ieee,prep0_aug0,seed_14298463,0.156862
distilbert-base-cased,ieee,prep0_aug0,seed_24677315,0.150956
distilbert-base-cased,ieee,prep0_aug0,seed_37622020,0.089482
distilbert-base-cased,ieee,prep0_aug0,seed_43782163,0.140442
distilbert-base-cased,ieee,prep0_aug0,seed_52680723,0.153532
distilbert-base-cased,ieee,prep0_aug0,seed_67351593,0.083858
distilbert-base-cased,ieee,prep0_aug0,seed_70681460,0.124798
distilbert-base-cased,ieee,prep0_aug0,seed_87212562,0.161658
distilbert-base-cased,ieee,prep0_aug0,seed_90995999,0.146362
distilbert-base-cased,ieee,prep0_aug0,seed_99511865,0.133489
distilbert-base-uncased,ieee,prep0_aug0,seed_14298463,0.120213
distilbert-base-uncased,ieee,prep0_aug0,seed_24677315,0.134198
distilbert-base-uncased,ieee,prep0_aug0,seed_37622020,0.149585
distilbert-base-uncased,ieee,prep0_aug0,seed_43782163,0.130337
distilbert-base-uncased,ieee,prep0_aug0,seed_52680723,0.154268
distilbert-base-uncased,ieee,prep0_aug0,seed_67351593,0.119505
distilbert-base-uncased,ieee,prep0_aug0,seed_70681460,0.12261
distilbert-base-uncased,ieee,prep0_aug0,seed_87212562,0.107852
distilbert-base-uncased,ieee,prep0_aug0,seed_90995999,0.051631
distilbert-base-uncased,ieee,prep0_aug0,seed_99511865,0.098792
google/mobilebert-uncased,ieee,prep0_aug0,seed_14298463,0.103372
google/mobilebert-uncased,ieee,prep0_aug0,seed_24677315,0.123822
google/mobilebert-uncased,ieee,prep0_aug0,seed_37622020,0.143815
google/mobilebert-uncased,ieee,prep0_aug0,seed_43782163,0.140407
google/mobilebert-uncased,ieee,prep0_aug0,seed_52680723,0.153316
google/mobilebert-uncased,ieee,prep0_aug0,seed_67351593,0.118986
google/mobilebert-uncased,ieee,prep0_aug0,seed_70681460,0.043664
google/mobilebert-uncased,ieee,prep0_aug0,seed_87212562,0.131737
google/mobilebert-uncased,ieee,prep0_aug0,seed_90995999,0.054503
google/mobilebert-uncased,ieee,prep0_aug0,seed_99511865,0.134946
gpt2,ieee,prep0_aug0,seed_14298463,0.06987
gpt2,ieee,prep0_aug0,seed_24677315,0.07322
gpt2,ieee,prep0_aug0,seed_37622020,0.090384
gpt2,ieee,prep0_aug0,seed_43782163,0.097105
gpt2,ieee,prep0_aug0,seed_52680723,0.090372
gpt2,ieee,prep0_aug0,seed_67351593,0.081959
gpt2,ieee,prep0_aug0,seed_70681460,0.099604
gpt2,ieee,prep0_aug0,seed_87212562,0.084712
gpt2,ieee,prep0_aug0,seed_90995999,0.085601
gpt2,ieee,prep0_aug0,seed_99511865,0.065014
roberta-base,ieee,prep0_aug0,seed_14298463,0.142258
roberta-base,ieee,prep0_aug0,seed_24677315,0.134355
roberta-base,ieee,prep0_aug0,seed_37622020,0.128219
roberta-base,ieee,prep0_aug0,seed_43782163,0.130884
roberta-base,ieee,prep0_aug0,seed_52680723,0.158972
roberta-base,ieee,prep0_aug0,seed_67351593,0.117414
roberta-base,ieee,prep0_aug0,seed_70681460,0.145218
roberta-base,ieee,prep0_aug0,seed_87212562,0.139824
roberta-base,ieee,prep0_aug0,seed_90995999,0.122549
roberta-base,ieee,prep0_aug0,seed_99511865,0.094432
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_14298463,0.106833
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_24677315,0.102573
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_37622020,0.131921
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_43782163,0.113269
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_52680723,0.107607
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_67351593,0.113731
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_70681460,0.116319
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_87212562,0.121734
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_90995999,0.110239
sarkerlab/SocBERT-base,ieee,prep0_aug0,seed_99511865,0.111392
vinai/bertweet-base,ieee,prep0_aug0,seed_14298463,0.134323
vinai/bertweet-base,ieee,prep0_aug0,seed_24677315,0.106169
vinai/bertweet-base,ieee,prep0_aug0,seed_37622020,0.102254
vinai/bertweet-base,ieee,prep0_aug0,seed_43782163,0.117258
vinai/bertweet-base,ieee,prep0_aug0,seed_52680723,0.097459
vinai/bertweet-base,ieee,prep0_aug0,seed_67351593,0.110566
vinai/bertweet-base,ieee,prep0_aug0,seed_70681460,0.11957
vinai/bertweet-base,ieee,prep0_aug0,seed_87212562,0.115535
vinai/bertweet-base,ieee,prep0_aug0,seed_90995999,0.111531
vinai/bertweet-base,ieee,prep0_aug0,seed_99511865,0.101167
xlnet-base-cased,ieee,prep0_aug0,seed_14298463,0.128349
xlnet-base-cased,ieee,prep0_aug0,seed_24677315,0.132888
xlnet-base-cased,ieee,prep0_aug0,seed_37622020,0.138647
xlnet-base-cased,ieee,prep0_aug0,seed_43782163,0.13336
xlnet-base-cased,ieee,prep0_aug0,seed_52680723,0.148658
xlnet-base-cased,ieee,prep0_aug0,seed_67351593,0.129052
xlnet-base-cased,ieee,prep0_aug0,seed_70681460,0.153351
xlnet-base-cased,ieee,prep0_aug0,seed_87212562,0.125252
xlnet-base-cased,ieee,prep0_aug0,seed_90995999,0.134707
xlnet-base-cased,ieee,prep0_aug0,seed_99511865,0.125644
GroNLP/hateBERT,kaggle,prep0_aug0,seed_14298463,0.039545
GroNLP/hateBERT,kaggle,prep0_aug0,seed_24677315,0.033713
GroNLP/hateBERT,kaggle,prep0_aug0,seed_37622020,0.037157
GroNLP/hateBERT,kaggle,prep0_aug0,seed_43782163,0.036926
GroNLP/hateBERT,kaggle,prep0_aug0,seed_52680723,0.038375
GroNLP/hateBERT,kaggle,prep0_aug0,seed_67351593,0.036768
GroNLP/hateBERT,kaggle,prep0_aug0,seed_70681460,0.037619
GroNLP/hateBERT,kaggle,prep0_aug0,seed_87212562,0.040063
GroNLP/hateBERT,kaggle,prep0_aug0,seed_90995999,0.040141
GroNLP/hateBERT,kaggle,prep0_aug0,seed_99511865,0.037994
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_14298463,0.036389
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_24677315,0.03438
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_37622020,0.039224
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_43782163,0.03324
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_52680723,0.034488
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_67351593,0.037448
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_70681460,0.033379
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_87212562,0.037353
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_90995999,0.035386
Twitter/twhin-bert-base,kaggle,prep0_aug0,seed_99511865,0.029586
albert/albert-base-v2,kaggle,prep0_aug0,seed_14298463,0.041345
albert/albert-base-v2,kaggle,prep0_aug0,seed_24677315,0.039969
albert/albert-base-v2,kaggle,prep0_aug0,seed_37622020,0.031239
albert/albert-base-v2,kaggle,prep0_aug0,seed_43782163,0.031033
albert/albert-base-v2,kaggle,prep0_aug0,seed_52680723,0.03851
albert/albert-base-v2,kaggle,prep0_aug0,seed_67351593,0.040603
albert/albert-base-v2,kaggle,prep0_aug0,seed_70681460,0.04093
albert/albert-base-v2,kaggle,prep0_aug0,seed_87212562,0.037108
albert/albert-base-v2,kaggle,prep0_aug0,seed_90995999,0.041732
albert/albert-base-v2,kaggle,prep0_aug0,seed_99511865,0.040571
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_14298463,0.029206
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_24677315,0.033899
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_37622020,0.035739
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_43782163,0.015197
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_52680723,0.03906
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_67351593,0.035026
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_70681460,0.039621
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_87212562,0.035875
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_90995999,0.033615
all-MiniLM-L12-v2,kaggle,prep0_aug0,seed_99511865,0.033929
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_14298463,0.039273
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_24677315,0.026163
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_37622020,0.036803
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_43782163,0.034563
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_52680723,0.03385
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_67351593,0.037525
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_70681460,0.038774
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_87212562,0.029834
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_90995999,0.037506
all-MiniLM-L6-v2,kaggle,prep0_aug0,seed_99511865,0.036554
all-distilroberta-v1,kaggle,prep0_aug0,seed_14298463,0.03362
all-distilroberta-v1,kaggle,prep0_aug0,seed_24677315,0.035613
all-distilroberta-v1,kaggle,prep0_aug0,seed_37622020,0.033789
all-distilroberta-v1,kaggle,prep0_aug0,seed_43782163,0.037093
all-distilroberta-v1,kaggle,prep0_aug0,seed_52680723,0.034414
all-distilroberta-v1,kaggle,prep0_aug0,seed_67351593,0.032842
all-distilroberta-v1,kaggle,prep0_aug0,seed_70681460,0.020611
all-distilroberta-v1,kaggle,prep0_aug0,seed_87212562,0.035082
all-distilroberta-v1,kaggle,prep0_aug0,seed_90995999,0.035947
all-distilroberta-v1,kaggle,prep0_aug0,seed_99511865,0.036922
all-mpnet-base-v2,kaggle,prep0_aug0,seed_14298463,0.023582
all-mpnet-base-v2,kaggle,prep0_aug0,seed_24677315,0.037722
all-mpnet-base-v2,kaggle,prep0_aug0,seed_37622020,0.029065
all-mpnet-base-v2,kaggle,prep0_aug0,seed_43782163,0.033823
all-mpnet-base-v2,kaggle,prep0_aug0,seed_52680723,0.028779
all-mpnet-base-v2,kaggle,prep0_aug0,seed_67351593,0.019094
all-mpnet-base-v2,kaggle,prep0_aug0,seed_70681460,0.038459
all-mpnet-base-v2,kaggle,prep0_aug0,seed_87212562,0.039632
all-mpnet-base-v2,kaggle,prep0_aug0,seed_90995999,0.028659
all-mpnet-base-v2,kaggle,prep0_aug0,seed_99511865,0.033942
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_14298463,0.037659
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_24677315,0.033395
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_37622020,0.037132
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_43782163,0.038757
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_52680723,0.036629
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_67351593,0.037583
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_70681460,0.022604
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_87212562,0.034849
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_90995999,0.031512
answerdotai/ModernBERT-base,kaggle,prep0_aug0,seed_99511865,0.039919
bert-base-cased,kaggle,prep0_aug0,seed_14298463,0.027061
bert-base-cased,kaggle,prep0_aug0,seed_24677315,0.039587
bert-base-cased,kaggle,prep0_aug0,seed_37622020,0.039291
bert-base-cased,kaggle,prep0_aug0,seed_43782163,0.037261
bert-base-cased,kaggle,prep0_aug0,seed_52680723,0.036121
bert-base-cased,kaggle,prep0_aug0,seed_67351593,0.036883
bert-base-cased,kaggle,prep0_aug0,seed_70681460,0.0369
bert-base-cased,kaggle,prep0_aug0,seed_87212562,0.037303
bert-base-cased,kaggle,prep0_aug0,seed_90995999,0.034914
bert-base-cased,kaggle,prep0_aug0,seed_99511865,0.037922
bert-base-uncased,kaggle,prep0_aug0,seed_14298463,0.040792
bert-base-uncased,kaggle,prep0_aug0,seed_24677315,0.035504
bert-base-uncased,kaggle,prep0_aug0,seed_37622020,0.036367
bert-base-uncased,kaggle,prep0_aug0,seed_43782163,0.038992
bert-base-uncased,kaggle,prep0_aug0,seed_52680723,0.036371
bert-base-uncased,kaggle,prep0_aug0,seed_67351593,0.039861
bert-base-uncased,kaggle,prep0_aug0,seed_70681460,0.036215
bert-base-uncased,kaggle,prep0_aug0,seed_87212562,0.038251
bert-base-uncased,kaggle,prep0_aug0,seed_90995999,0.019992
bert-base-uncased,kaggle,prep0_aug0,seed_99511865,0.040125
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_14298463,0.038487
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_24677315,0.041508
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_37622020,0.038119
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_43782163,0.030575
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_52680723,0.038989
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_67351593,0.030587
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_70681460,0.036824
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_87212562,0.035515
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_90995999,0.032888
chandar-lab/NeoBERT,kaggle,prep0_aug0,seed_99511865,0.040852
distilbert-base-cased,kaggle,prep0_aug0,seed_14298463,0.04058
distilbert-base-cased,kaggle,prep0_aug0,seed_24677315,0.024718
distilbert-base-cased,kaggle,prep0_aug0,seed_37622020,0.040365
distilbert-base-cased,kaggle,prep0_aug0,seed_43782163,0.037023
distilbert-base-cased,kaggle,prep0_aug0,seed_52680723,0.040721
distilbert-base-cased,kaggle,prep0_aug0,seed_67351593,0.04272
distilbert-base-cased,kaggle,prep0_aug0,seed_70681460,0.039861
distilbert-base-cased,kaggle,prep0_aug0,seed_87212562,0.041261
distilbert-base-cased,kaggle,prep0_aug0,seed_90995999,0.040644
distilbert-base-cased,kaggle,prep0_aug0,seed_99511865,0.035429
distilbert-base-uncased,kaggle,prep0_aug0,seed_14298463,0.039301
distilbert-base-uncased,kaggle,prep0_aug0,seed_24677315,0.04014
distilbert-base-uncased,kaggle,prep0_aug0,seed_37622020,0.032046
distilbert-base-uncased,kaggle,prep0_aug0,seed_43782163,0.040633
distilbert-base-uncased,kaggle,prep0_aug0,seed_52680723,0.040259
distilbert-base-uncased,kaggle,prep0_aug0,seed_67351593,0.041237
distilbert-base-uncased,kaggle,prep0_aug0,seed_70681460,0.038047
distilbert-base-uncased,kaggle,prep0_aug0,seed_87212562,0.039771
distilbert-base-uncased,kaggle,prep0_aug0,seed_90995999,0.016349
distilbert-base-uncased,kaggle,prep0_aug0,seed_99511865,0.038435
google/mobilebert-uncased,kaggle,prep0_aug0,seed_14298463,0.025454
google/mobilebert-uncased,kaggle,prep0_aug0,seed_24677315,0.027463
google/mobilebert-uncased,kaggle,prep0_aug0,seed_37622020,0.032012
google/mobilebert-uncased,kaggle,prep0_aug0,seed_43782163,0.037495
google/mobilebert-uncased,kaggle,prep0_aug0,seed_52680723,0.030154
google/mobilebert-uncased,kaggle,prep0_aug0,seed_67351593,0.02922
google/mobilebert-uncased,kaggle,prep0_aug0,seed_70681460,0.038868
google/mobilebert-uncased,kaggle,prep0_aug0,seed_87212562,0.036353
google/mobilebert-uncased,kaggle,prep0_aug0,seed_90995999,0.035386
google/mobilebert-uncased,kaggle,prep0_aug0,seed_99511865,0.03799
gpt2,kaggle,prep0_aug0,seed_14298463,0.032317
gpt2,kaggle,prep0_aug0,seed_24677315,0.035626
gpt2,kaggle,prep0_aug0,seed_37622020,0.03348
gpt2,kaggle,prep0_aug0,seed_43782163,0.034757
gpt2,kaggle,prep0_aug0,seed_52680723,0.034158
gpt2,kaggle,prep0_aug0,seed_67351593,0.03679
gpt2,kaggle,prep0_aug0,seed_70681460,0.032222
gpt2,kaggle,prep0_aug0,seed_87212562,0.033015
gpt2,kaggle,prep0_aug0,seed_90995999,0.032126
gpt2,kaggle,prep0_aug0,seed_99511865,0.038761
roberta-base,kaggle,prep0_aug0,seed_14298463,0.034615
roberta-base,kaggle,prep0_aug0,seed_24677315,0.040987
roberta-base,kaggle,prep0_aug0,seed_37622020,0.033035
roberta-base,kaggle,prep0_aug0,seed_43782163,0.038292
roberta-base,kaggle,prep0_aug0,seed_52680723,0.037344
roberta-base,kaggle,prep0_aug0,seed_67351593,0.03739
roberta-base,kaggle,prep0_aug0,seed_70681460,0.03405
roberta-base,kaggle,prep0_aug0,seed_87212562,0.037965
roberta-base,kaggle,prep0_aug0,seed_90995999,0.038487
roberta-base,kaggle,prep0_aug0,seed_99511865,0.039729
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_14298463,0.045598
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_24677315,0.045306
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_37622020,0.035676
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_43782163,0.042611
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_52680723,0.044513
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_67351593,0.041881
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_70681460,0.040418
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_87212562,0.045642
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_90995999,0.040423
sarkerlab/SocBERT-base,kaggle,prep0_aug0,seed_99511865,0.042828
vinai/bertweet-base,kaggle,prep0_aug0,seed_14298463,0.036448
vinai/bertweet-base,kaggle,prep0_aug0,seed_24677315,0.015725
vinai/bertweet-base,kaggle,prep0_aug0,seed_37622020,0.03968
vinai/bertweet-base,kaggle,prep0_aug0,seed_43782163,0.030051
vinai/bertweet-base,kaggle,prep0_aug0,seed_52680723,0.024965
vinai/bertweet-base,kaggle,prep0_aug0,seed_67351593,0.035913
vinai/bertweet-base,kaggle,prep0_aug0,seed_70681460,0.035304
vinai/bertweet-base,kaggle,prep0_aug0,seed_87212562,0.033571
vinai/bertweet-base,kaggle,prep0_aug0,seed_90995999,0.027322
vinai/bertweet-base,kaggle,prep0_aug0,seed_99511865,0.035559
xlnet-base-cased,kaggle,prep0_aug0,seed_14298463,0.026441
xlnet-base-cased,kaggle,prep0_aug0,seed_24677315,0.037574
xlnet-base-cased,kaggle,prep0_aug0,seed_37622020,0.041121
xlnet-base-cased,kaggle,prep0_aug0,seed_43782163,0.037106
xlnet-base-cased,kaggle,prep0_aug0,seed_52680723,0.037782
xlnet-base-cased,kaggle,prep0_aug0,seed_67351593,0.042157
xlnet-base-cased,kaggle,prep0_aug0,seed_70681460,0.035783
xlnet-base-cased,kaggle,prep0_aug0,seed_87212562,0.041019
xlnet-base-cased,kaggle,prep0_aug0,seed_90995999,0.04028
xlnet-base-cased,kaggle,prep0_aug0,seed_99511865,0.040552
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_14298463,0.027947
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_24677315,0.02597
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_37622020,0.024652
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_43782163,0.026452
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_52680723,0.026459
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_67351593,0.02757
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_70681460,0.027366
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_87212562,0.027006
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_90995999,0.029702
